"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.938389667E0,1.103892627E0,-3.889416994E0,5.260780268E0,6.634904107E0
2.948414667E0,2.556396836E-1,1.008518400E0,1.465403459E0,1.797183438E0
2.958440667E0,-2.932049744E-1,2.126158708E0,-4.049436575E0,4.583061923E0
2.968466667E0,-6.682311337E-1,1.982861579E0,-2.923440596E0,3.595104700E0
2.978491667E0,-3.954862247E-1,2.438797635E0,1.406366462E-1,2.474655920E0
2.988517667E0,-2.249833167E-1,2.519558793E0,1.791526650E0,3.099735753E0
2.998542667E0,-5.822375219E-1,1.437513995E0,7.018740392E-1,1.702373103E0
3.008568667E0,-1.013443364E0,3.136066407E-1,-9.536568993E-1,1.426491521E0
3.018594667E0,-1.504951541E0,-2.080205441E-1,-1.180352281E0,1.923897917E0
3.028619667E0,1.250198734E0,-6.103598517E-1,7.845998615E-1,1.597226648E0
3.038645667E0,1.710686700E0,-2.748086691E0,1.517027357E0,3.574884817E0
3.048670667E0,5.878540649E-1,-3.061492773E0,-2.682042171E-1,3.128936545E0
3.058696667E0,3.168401510E-1,-1.213474419E0,-1.303612171E0,1.808953438E0
3.068721667E0,-1.074645147E-1,1.015047401E-1,-7.683171201E-1,7.824084810E-1
3.078747667E0,-1.201792851E-1,6.139360088E-1,7.252422173E-2,6.297779341E-1
3.088773667E0,5.442977169E-1,5.263605058E-1,1.363411646E0,1.559553366E0
3.098798667E0,-8.428723356E-1,2.360333848E-1,1.492025832E0,1.729822712E0
3.108824667E0,-2.117693402E0,1.988298905E-1,-2.752600157E-1,2.144743981E0
3.118849667E0,-2.806933362E0,9.019277519E-1,-2.441651076E0,3.828055452E0
3.128875667E0,-1.425321234E0,2.389320835E0,-3.884542755E0,4.778081947E0
3.138901667E0,1.217053499E0,2.725193673E0,-8.881639910E-1,3.113958100E0
3.148926667E0,1.490641942E0,1.256726273E0,2.008836665E0,2.799428347E0
3.158952667E0,6.558076277E-1,-5.555948299E-1,5.877301916E0,5.939818774E0
3.168977667E0,-8.307275225E-1,-1.645935658E0,6.122842873E0,6.394405153E0
